type,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,agc_gain,fft_gain,len,first_word_invalid,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_16,phase_17,phase_18,phase_19,phase_20,phase_21,phase_22,phase_23,phase_24,phase_25,phase_26,phase_27,phase_28,phase_29,phase_30,phase_31,phase_32,phase_33,phase_34,phase_35,phase_36,phase_37,phase_38,phase_39,phase_40,phase_41,phase_42,phase_43,phase_44,phase_45,phase_46,phase_47,phase_48,phase_49,phase_50,phase_51
CSI_DATA,0,2025-08-24 11:54:34.540,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4520883,0,14,0,0,0,104,0,70.2922470831599,51.85556864985669,34.539832078341085,27.65863337187866,37.8021163428716,52.0,67.468511173732,84.52810183601665,97.73944955850733,111.44954015158609,120.50311199301038,128.76334882255898,128.9961239727768,129.2594290564522,129.2594290564522,130.04999038831184,131.0267148332736,131.70041761513136,132.43866504914644,132.43866504914644,123.08127396155761,117.64352935882194,112.27199116431488,100.65783625729296,90.07774419910837,13.92838827718412,19.4164878389476,29.966648127543394,41.182520563948,55.072679252057455,70.71067811865476,80.62257748298549,98.48857801796105,117.17081547894082,133.29666162361306,140.03570973148243,141.76741515595182,143.1258187749506,143.1258187749506,143.1258187749506,144.05901568454507,143.58969322343438,144.05901568454507,145.49914089093448,145.49914089093448,146.48549416239138,145.98972566588375,143.1258187749506,145.49914089093448,142.21462653327893,135.51752654177244,-0.6947382761967031,-0.8809962820612887,-1.1849136573968229,-1.7894652726688385,-2.487509929175433,-2.746801533890032,-2.9325697107835285,-2.951157538176239,-3.0185066938947873,-3.0517451138951657,-3.0501814517295123,-3.0326506965999274,-3.017237659043032,-3.0018837793006297,-3.0018837793006297,-2.9638024245971173,-2.926234953892055,-2.903980339724322,-2.8819630241815357,-2.8819630241815357,-2.8532486895246687,-2.8305943729842524,-2.8057585233702906,-2.775845352327449,-2.7425317050136595,0.3671738338182192,-0.20749622643520266,-0.4487233440107211,-0.507098504392337,-0.5123894603107377,-0.5016040541891205,-0.5191461142465229,-0.5090708884223831,-0.45983083364175814,-0.48377911713120864,-0.4349015359871267,-0.46049304533232926,-0.47927133762128293,-0.47927133762128293,-0.47927133762128293,-0.4915906445236458,-0.48545100690050663,-0.4915906445236458,-0.5097687250153173,-0.5097687250153173,-0.5216863289351822,-0.5157476566419044,-0.47927133762128293,-0.5097687250153173,-0.46679225272324776,-0.4504470556746563
CSI_DATA,1,2025-08-24 11:54:34.546,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4532274,0,14,0,0,0,104,0,73.78346698278686,53.75872022286245,33.1058907144937,29.120439557122072,38.28837943815329,52.80151512977634,69.12307863514182,84.40379138403677,95.75489543621255,109.55363982999378,117.83462988442744,128.00390619039717,128.56515857727553,128.7245120402482,129.634100452003,130.728726758888,132.2800060477773,132.5631924781536,134.73678042761748,133.13526955694348,123.97580409095961,111.42710621747295,108.26818553942798,99.40321926376429,89.96110270555825,15.811388300841896,21.37755832643195,29.154759474226502,44.77722635447622,53.85164807134504,70.32780389006896,84.11896337925236,98.00510190801293,115.83177456984762,131.48764200486676,142.6639407839276,144.01388821915754,144.01388821915754,146.37281168304446,145.41320435228707,144.4749113168096,145.89036979869508,144.01388821915754,145.41320435228707,144.9413674559475,144.9413674559475,144.01388821915754,143.10835055998655,146.37281168304446,143.55835050598765,132.84953895290718,2.5686265107010873,2.3298847729394225,2.007423486608438,1.2924966677897853,0.711459125739508,0.4297622790966885,0.24848742065740273,0.23923159996366056,0.12565033060984618,0.10057691745484798,0.11909188524916606,0.1253239864915465,0.15619750983866892,0.16387153890082648,0.20193410659960107,0.23941285789170996,0.28349172034545506,0.29073425125100505,0.34052768998907484,0.328876324523075,0.33705548172083405,0.3671738338182192,0.3685000929875545,0.4141385504762117,0.42386761052977934,-2.819842099193151,2.9533711482850227,2.7547169358587653,2.6279866488670445,2.5948038127005457,2.6206828727415776,2.646040980103965,2.6414315998421105,2.6856668988302483,2.667741317095033,2.6842145549194725,2.665523323267032,2.665523323267032,2.6351577191066964,2.647185518518518,2.6593713293619397,2.641151840442499,2.665523323267032,2.647185518518518,2.6532587025333876,2.6532587025333876,2.665523323267032,2.677945044588987,2.6351577191066964,2.671714595614106,2.698144317170055
CSI_DATA,2,2025-08-24 11:54:34.560,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4546522,0,14,0,0,0,104,0,69.42621983083913,51.088159097779204,35.4400902933387,29.206163733020468,40.0,56.61271941887264,70.21395872616783,83.24061508662703,99.32270636667126,111.25196627475849,122.64175471673585,136.4587849865299,141.50971698084905,145.64683312726027,148.86235252742716,146.86047800548656,144.01388821915754,140.9432509913121,137.41906709041507,133.33041663476493,125.86500705120545,115.7410903698423,109.41663493271945,100.96038827183659,91.21951545584969,14.422205101855956,19.4164878389476,26.248809496813376,42.720018726587654,54.3415126767741,68.41052550594829,80.0812087820857,97.8008179924892,114.17968295629481,129.65338406690356,137.23337786413333,139.61733416735902,143.1258187749506,145.98972566588375,151.17208737065187,153.37861650177967,155.65667348366404,156.82155464093577,155.65667348366404,155.65667348366404,156.236999459155,152.26621424334422,149.04026301640775,143.58969322343438,140.45995870709916,137.23337786413333,0.20304521725346514,0.058755822715722696,-0.2860514417173182,-0.906750163968212,-1.5707963267948966,-1.8757886736093012,-2.0280745951770394,-2.072060591666479,-2.133664559643007,-2.183731418665515,-2.1882022185464693,-2.1527014449347823,-2.129395642138459,-2.135945766801656,-2.10660756475536,-2.0831857871056343,-2.046865657117658,-2.002708562267245,-1.9431947734716508,-1.9471244552412201,-1.9025967940845732,-1.887082454707051,-1.886766598747877,-1.8518170675194734,-1.7918433894699153,0.982793723247329,0.6022873461349642,0.3097029445424562,0.2847304385227122,0.22266094063636496,0.2662520491509254,0.27829965900511133,0.27970415246363095,0.3023624023828033,0.3217505543966422,0.38862527855525986,0.4284057959351976,0.47927133762128293,0.5157476566419044,0.573324758616564,0.5952357504587268,0.6165153733908496,0.6269209955991907,0.6165153733908496,0.6165153733908496,0.6217375801224918,0.5843596324136883,0.5507758618759031,0.48545100690050663,0.4413583073086395,0.38862527855525986
CSI_DATA,3,2025-08-24 11:54:34.565,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4550221,0,14,0,0,0,104,0,74.27651041883968,59.20304046246274,34.48187929913333,28.231188426986208,39.66106403010388,51.24451190127583,69.26037828369117,83.38465086573187,91.00549433962765,107.0420478129973,118.06777714516353,127.01574705523721,127.00393694685216,127.01574705523721,127.1416532848303,127.3184982632139,127.66362050325849,128.56515857727553,129.43724348115578,129.24782396620841,123.76186811776881,109.65856099730654,110.85576214162258,102.35721762533407,91.09335870413386,12.36931687685298,20.8806130178211,30.528675044947494,45.221676218380054,55.47071299343465,71.61005515987263,82.92767933567175,97.9081201943945,114.0570032922135,130.92364186807515,146.4923206178399,152.55490814785344,153.6522046701576,154.76756766196203,154.76756766196203,154.20765220960988,155.90060936378666,154.20765220960988,158.21820375671064,154.20765220960988,158.21820375671064,154.76756766196203,150.94369811290565,155.3319027115808,152.55490814785344,140.13208055259867,-2.327630832353585,-2.4879567566702714,-2.8473580884786056,2.741351996555819,2.158798930342464,1.8678605391359393,1.6575346654708818,1.6668850423122634,1.5817848954776303,1.5427662868350502,1.536910996890779,1.5550495969450278,1.562922473770796,1.5865430566447654,1.6180053186041108,1.6415441945485043,1.6728032447050087,1.7269938366335655,1.7651615928899147,1.7575701313376153,1.7824539940435136,1.7914435094552403,1.7982713072677243,1.8276227767647044,1.8717165611553217,-1.3258176636680326,-1.8622531212727638,-2.1224513093234436,-2.1833338834052,-2.1637988886764226,-2.1975392280059434,-2.158798930342464,-2.1672973093147223,-2.1247488354359243,-2.1439695090181186,-2.1322899900619956,-2.1460723447510146,-2.1569938781512574,-2.1677592640102983,-2.1677592640102983,-2.162396037130008,-2.178369385183919,-2.162396037130008,-2.199127929228906,-2.162396037130008,-2.199127929228906,-2.1677592640102983,-2.129395642138459,-2.173083672929861,-2.1460723447510146,-2.127126357077685
CSI_DATA,4,2025-08-24 11:54:34.574,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4560218,0,14,0,0,0,104,0,72.73238618387272,54.230987451824994,34.92849839314596,25.495097567963924,37.013511046643494,51.97114584074513,66.48308055437865,85.23496934944014,96.60227740586657,110.05907504608605,119.20151005754919,132.48396129343357,141.8238343861849,144.4749113168096,144.4749113168096,142.22517358048822,139.31618714277246,137.05838172107534,134.7145129523913,134.40610105199838,123.76186811776881,117.44360348695028,109.89540481748998,101.6366075781753,90.2551937563706,14.317821063276353,21.93171219946131,30.4138126514911,44.384682042344295,56.462376853972415,70.77428911688199,80.23091673413684,97.98979538707079,116.72617529928752,132.82319074619463,145.12063946937388,150.94369811290565,155.3319027115808,160.0,168.12197952677099,168.12197952677099,172.07265907168403,174.0919297382851,171.40595088852663,168.12197952677099,170.0823330037544,165.55663683464942,159.40200751558933,152.55490814785344,149.37536610833797,136.4734406395618,-1.2490457723982544,-1.4784669920632976,-1.8018869939907938,-2.4116929954380617,-3.1145722044025286,2.947970660733848,2.7722589959161676,2.756729005578131,2.668686049926864,2.6494974364189647,2.614122069824333,2.6374266921106404,2.6495615020220544,2.6593713293619397,2.6593713293619397,2.6905229976012697,2.735758360514989,2.7759903218828264,2.824536900380646,2.83160626234291,2.8632929945846817,2.865632171604759,2.874542520011344,2.9133188803517407,2.9746224845648643,-0.43240777557053783,-0.8176450458327023,-1.092443895416239,-1.1777383076129642,-1.1705556697609225,-1.1640492550689256,-1.1740876639036828,-1.1391013094785702,-1.0994860325245512,-1.1105157084375983,-1.0516502125483738,-1.0121970114513341,-0.9685089806599324,-0.9272952180016122,-0.8653958499298475,-0.8653958499298475,-0.83884515567898,-0.8260262010788214,-0.843184994168386,-0.8653958499298475,-0.8519663271732721,-0.8837918484536517,-0.9323139964404591,-0.9955203088387787,-1.0292287214030515,-1.0743735733900148
CSI_DATA,5,2025-08-24 11:54:34.584,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4570253,0,14,0,0,0,104,0,74.94664769020693,54.91812087098393,33.24154027718932,26.870057685088806,39.11521443121589,52.773099207835045,67.06713054842886,82.0792300158816,95.75489543621255,108.67382389517726,119.4361754243663,132.00378782444085,139.61733416735902,140.03570973148243,141.32586458253138,138.3979768638256,136.48809471891678,134.40610105199838,132.00378782444085,131.47243057006287,124.19742348374221,115.31695452100702,110.21796586763884,98.00510190801293,89.35882720806042,13.601470508735444,21.400934559032695,32.202484376209235,42.941821107167776,54.56189146281496,71.11258679024411,83.6719785830358,100.17983829094555,114.49017425089369,134.6476884316994,145.7737973711325,154.76756766196203,159.40200751558933,164.92422502470643,169.42549985170473,170.0823330037544,174.0919297382851,177.51901306620653,174.0919297382851,171.40595088852663,173.4156855650607,168.77203559831824,163.04907236779974,158.80806024884254,153.6522046701576,142.35870187663275,-2.8156227149501474,-2.958481836327309,3.0209689850096906,2.356194490192345,1.6475682180646747,1.3994172004053889,1.2207514385497507,1.1835027235888202,1.13984733939452,1.103033514686979,1.1296168463799159,1.1410340476982082,1.1423905308596989,1.13589479080777,1.116642103474745,1.1621094923155117,1.1957320728267262,1.2372816092484957,1.2945778302377642,1.309214023553264,1.343393978512528,1.3699994195177747,1.3698420631067996,1.4274562717492947,1.48114961047341,-1.8692952583810758,-2.488746022489019,-2.510513266118464,-2.65711472455277,-2.6861415823389,-2.6905229976012697,-2.710019602366288,-2.6868733787688237,-2.670132703528886,-2.654693421778524,-2.601173153319209,-2.544629716374392,-2.5031103232353558,-2.459276098715045,-2.4272046014330244,-2.4227626539681686,-2.396822527873718,-2.376112174623649,-2.396822527873718,-2.4139813209632828,-2.4010623169771006,-2.4316810351262683,-2.473556591733773,-2.5081667706206487,-2.5553951022334327,-2.586716329235714
CSI_DATA,6,2025-08-24 11:54:34.604,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4589582,0,14,0,0,0,104,0,72.47068372797375,53.907327887774215,33.61547262794322,27.892651361962706,37.8021163428716,52.81098370604357,66.91038783328041,86.14522621712709,97.62171889492625,110.45361017187261,119.41942890501528,128.39003076563228,128.87590930814028,128.76334882255898,129.55307792561317,130.04999038831184,131.0267148332736,131.93938001976514,133.24038426843418,132.1854757528224,124.32618388738553,116.05602095539895,111.6288493177279,101.59232254457027,89.96110270555825,14.317821063276353,21.587033144922902,27.784887978899608,40.22437072223753,53.85164807134504,69.33974329343886,81.83520025025906,96.56603957913983,114.23659658795863,129.49517365523704,143.58969322343438,145.01379244747721,145.98972566588375,146.98639392814562,148.00337833982033,148.00337833982033,148.00337833982033,146.48549416239138,150.63200191194434,148.51935900750448,150.0966355385756,149.04026301640775,146.98639392814562,146.98639392814562,143.58969322343438,138.6542462386205,-0.6876712560387296,-0.8641821243865921,-1.1737168815699144,-1.8244704229335393,-2.487509929175433,-2.8138541468092377,-2.976443976175166,-2.9783523708049557,-3.0286729928371905,-3.050932766389048,-3.057756011521379,-3.0636260197582508,-3.024937218148724,-3.0326506965999274,-2.9865959116658525,-2.9638024245971173,-2.926234953892055,-2.896613990462929,-2.860200220940615,-2.8892746727033662,-2.8478246151534137,-2.8171173102962195,-2.822674952804989,-2.779365775883022,-2.717725043060014,0.21109333322274654,-0.23374318086890142,-0.5280744484263596,-0.6086893073274117,-0.5467888408892474,-0.5800027742076809,-0.5676664243718798,-0.5564039291889499,-0.5224034317165288,-0.5258509946140554,-0.48545100690050663,-0.5037495550905619,-0.5157476566419044,-0.5275847325007674,-0.5392607522376359,-0.5392607522376359,-0.5392607522376359,-0.5216863289351822,-0.5677475471104054,-0.5450384050676406,-0.5621303741142941,-0.5507758618759031,-0.5275847325007674,-0.5275847325007674,-0.48545100690050663,-0.47977524284444234
CSI_DATA,7,2025-08-24 11:54:34.609,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4590587,0,14,0,0,0,104,0,71.78439941937245,53.150729063673246,33.95585369269929,24.20743687382041,37.013511046643494,52.630789467763066,69.46221994724903,86.53900854527974,95.29428104561154,110.5350623105628,117.83462988442744,130.24976007655445,141.35416513141735,142.21462653327893,143.58969322343438,140.8900280360537,138.7984149765407,135.76818478568535,133.15029102484155,133.4541119636259,124.32618388738553,114.0175425099138,110.35397591387454,100.22474744293447,90.2551937563706,14.560219778561036,19.79898987322333,28.635642126552707,43.86342439892262,53.48831648126533,70.9365914038728,80.11242100947892,98.48857801796105,116.73045875006231,131.51805959639154,143.1258187749506,148.00337833982033,151.71684151734772,158.00316452527144,164.14932226482082,166.71232707871366,171.3300907604966,172.00290695217916,169.9941175452845,165.42369842317032,168.01488029338353,164.78470802838473,157.4102919125684,152.8201557386983,148.51935900750448,142.23923509355637,1.8969521390383497,1.7792615451748843,1.332960399337446,0.668289418830584,0.02702044918726479,-0.2495869254369846,-0.39922076957525254,-0.39123557912717416,-0.49180917598869855,-0.5000687432153129,-0.5244092235441183,-0.5048613716591264,-0.485795885440314,-0.46679225272324776,-0.48545100690050663,-0.44777592600901606,-0.41529822234890323,-0.361356871401228,-0.30512500799696424,-0.31227216526677987,-0.2937680384363798,-0.2662520491509254,-0.24717646178597003,-0.21109333322274654,-0.16697016902492895,2.8632929945846817,2.356194490192345,2.0032041023654346,1.9936502529278373,1.933943336741073,1.946067149650854,1.9953577071592543,1.9890206563741257,2.0229501890806723,2.0106389096106327,2.0500676644161797,2.1100570790325324,2.149658417086669,2.2079684061719793,2.2569544703367415,2.2755189102287487,2.3066482956012195,2.310957882413177,2.2979271872228115,2.2663085966450915,2.2845871753410787,2.261649618652204,2.202862101794022,2.1606138103825185,2.1158347318625372,2.0533096218173736
CSI_DATA,8,2025-08-24 11:54:34.618,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4604389,0,14,0,0,0,104,0,92.64987857520376,68.46897107449476,47.29693436154187,33.60059523282288,45.0111097397076,64.8459713474939,84.52810183601665,104.65658125507444,121.07848694132248,137.37903770226373,151.47607071745688,153.1012736720371,158.21820375671064,156.4736399525492,157.05094714773293,154.20765220960988,149.89329538041386,147.35331689514152,142.6639407839276,141.79210133149166,138.53880322855397,136.01470508735443,133.80956617521784,129.0310040261642,112.96902230257638,30.675723300355934,22.80350850198276,40.26164427839479,49.03060268852505,68.00735254367721,86.97700845625813,103.4456378974,123.664869708418,137.78606605894515,141.79210133149166,149.37536610833797,155.3319027115808,161.20794025109308,166.19265928433782,171.40595088852663,174.0919297382851,176.82759965570986,180.31361568112376,177.51901306620653,172.74258305351347,176.13914953808538,170.0823330037544,166.83225107874077,161.20794025109308,153.6522046701576,143.10835055998655,-1.33105321792444,-1.4536875822280324,-1.8055189392800937,-2.5040438554511004,3.1193740882630743,2.8442275083658695,2.688526660210063,2.6651252341160867,2.604006006931047,2.5899376710612465,2.5773950762272957,2.560836300022123,2.5132610511557836,2.528772451424552,2.5235637413072314,2.549992943254682,2.594308272602356,2.623288289986215,2.6842145549194725,2.696870229628854,2.7490225185779646,2.796590476382688,2.8458409678393615,2.89097495249078,2.9546133836708823,-0.33205946754288546,-0.6610431688506869,-1.319793640151862,-1.3654009376051293,-1.2722973952087173,-1.2672255874712328,-1.2765617616837088,-1.2669466733840062,-1.1916376577614547,-1.1260739028339573,-1.0292287214030515,-0.9685089806599324,-0.9173699856141346,-0.8791397049416968,-0.843184994168386,-0.8260262010788214,-0.8093935569893181,-0.7893197119222083,-0.8053158478287521,-0.8345388978134685,-0.8135032108579041,-0.8519663271732721,-0.8745231323868731,-0.9173699856141346,-0.984598775438536,-1.1071487177940904
CSI_DATA,9,2025-08-24 11:54:34.628,0,unknown,00:00:00:00:00:00,-34,11,0,0,0,0,0,0,0,0,0,-97,0,11,0,4613922,0,14,0,0,0,104,0,74.2024258363566,53.75872022286245,34.9857113690718,28.284271247461902,39.824615503479755,51.894122981316485,68.65857557508748,81.60882305241266,91.59148432032315,108.34205093129813,118.2285921425101,128.2692480682724,128.7245120402482,129.43724348115578,130.26895255585654,130.96946208945045,132.2800060477773,132.85330255586422,133.76471881628578,133.76471881628578,123.03251602726817,114.58621208504974,110.4943437466371,100.72239075796404,90.78546139112804,12.529964086141668,21.213203435596427,30.083217912982647,43.382023926967726,53.225933528685054,72.44998274671983,81.85963596303125,97.50897394599124,114.63420083029322,130.3878828726044,137.78606605894515,138.15932831336434,139.71399357258383,138.92443989449805,139.71399357258383,140.11780757633915,140.11780757633915,138.53880322855397,141.79210133149166,140.52757736472938,142.22517358048822,140.9432509913121,138.53880322855397,140.11780757633915,139.31618714277246,139.71399357258383,-2.2223835127177543,-2.3298847729394225,-2.601173153319209,2.999695598985629,2.2494588175432093,2.008587630436443,1.7910450501855857,1.8692952583810758,1.757485657609146,1.7283578963805557,1.7150857213326391,1.7115908460133877,1.734667865695723,1.7651615928899147,1.795293682939973,1.817626839656731,1.8542880471403518,1.868741855006469,1.8901828194017753,1.8901828194017753,1.9105397978459848,1.936717028436984,1.941219012080472,1.9900287205487919,2.039370004324126,-1.0714496051147666,-1.7126933813990606,-1.9451299428024806,-2.0241350226494594,-2.0176387952806607,-2.028271174690922,-2.0125894923123404,-2.0160973706825827,-1.9837062688502425,-1.972666974235353,-1.9499549958283384,-1.9566789961929705,-1.9832067683922838,-1.970017096370149,-1.9832067683922838,-1.9897452939284495,-1.9897452939284495,-1.9633664618067252,-2.015518750755836,-1.9962459641649388,-2.02186598278342,-2.002708562267245,-1.9633664618067252,-1.9897452939284495,-1.9766306198697008,-1.9832067683922838
